Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
>= 200 DM/salary assigned,6,Critical account,Car (new),1323,100 <= ... < 500 DM,>= 7 years,2,Male divorced/separated,None,4,Car/other,28,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,24,Existing credits paid back,Car (new),3123,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Savings/Life insurance,27,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,36,Existing credits paid back,Car (used),5493,< 100 DM,>= 7 years,2,Male single,None,4,Unknown/No property,42,None,For free,1,Skilled employee,2,None,Yes,Good
>= 200 DM/salary assigned,9,Existing credits paid back,Radio/TV,1126,100 <= ... < 500 DM,>= 7 years,2,Male divorced/separated,None,4,Real estate,49,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Critical account,Radio/TV,1216,100 <= ... < 500 DM,< 1 year,4,Male single,None,4,Unknown/No property,38,Bank,Own,2,Skilled employee,2,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Car (new),1207,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,24,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,10,Existing credits paid back,Car (new),1309,Unknown/No savings,1 <= ... < 4 years,4,Male single,Guarantor,4,Savings/Life insurance,27,None,Own,1,Unskilled-resident,1,None,Yes,Bad
>= 200 DM/salary assigned,15,Critical account,Car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,36,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,15,All credits paid back,Car (new),6850,100 <= ... < 500 DM,Unemployed,1,Male single,None,2,Savings/Life insurance,34,None,Own,1,Management/self-employed,2,"Yes, registered",Yes,Bad
No checking account,24,Existing credits paid back,Radio/TV,1413,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,2,Savings/Life insurance,28,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,39,Existing credits paid back,Car (used),8588,100 <= ... < 500 DM,>= 7 years,4,Male single,None,2,Car/other,45,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Car (new),759,< 100 DM,4 <= ... < 7 years,4,Male single,None,2,Real estate,26,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,36,Existing credits paid back,Car (used),4686,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Unknown/No property,32,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,15,Existing credits paid back,Business,2687,< 100 DM,4 <= ... < 7 years,2,Male single,None,4,Savings/Life insurance,26,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Delayed payments,Radio/TV,585,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,Co-applicant,4,Real estate,20,None,Rent,2,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Car (new),2255,Unknown/No savings,< 1 year,4,Male single,None,1,Savings/Life insurance,54,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,6,Critical account,Car (new),609,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,3,Savings/Life insurance,37,None,Own,2,Skilled employee,1,None,No,Good
< 0 DM,6,Critical account,Car (new),1361,< 100 DM,< 1 year,2,Male single,None,4,Real estate,40,None,Own,1,Unskilled-resident,2,None,No,Good
No checking account,36,Critical account,Furniture/equipment,7127,< 100 DM,< 1 year,2,Female div/sep/married,None,4,Savings/Life insurance,23,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,6,Existing credits paid back,Car (new),1203,100 <= ... < 500 DM,>= 7 years,3,Male single,None,2,Savings/Life insurance,43,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,6,Critical account,Radio/TV,700,Unknown/No savings,>= 7 years,4,Male single,None,4,Unknown/No property,36,None,For free,2,Skilled employee,1,None,Yes,Good
No checking account,24,Critical account,Repairs,5507,< 100 DM,>= 7 years,3,Male single,None,4,Unknown/No property,44,None,For free,2,Skilled employee,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Radio/TV,3190,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,48,No credits/all paid,Furniture/equipment,7119,< 100 DM,1 <= ... < 4 years,3,Male single,None,4,Unknown/No property,53,None,For free,2,Skilled employee,2,None,Yes,Bad
No checking account,24,Existing credits paid back,Car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,Female div/sep/married,None,4,Car/other,23,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Radio/TV,1113,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,Guarantor,4,Real estate,26,None,Own,1,Unskilled-resident,2,None,Yes,Good
0 <= ... < 200 DM,26,Existing credits paid back,Car (used),7966,< 100 DM,< 1 year,2,Male single,None,3,Car/other,30,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,15,Critical account,Education,1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female div/sep/married,None,3,Car/other,31,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,4,Critical account,Radio/TV,1503,< 100 DM,4 <= ... < 7 years,2,Male single,None,1,Real estate,42,None,Own,2,Unskilled-resident,2,None,Yes,Good
< 0 DM,36,Existing credits paid back,Radio/TV,2302,< 100 DM,1 <= ... < 4 years,4,Male divorced/separated,None,4,Car/other,31,None,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,6,Existing credits paid back,Car (new),662,< 100 DM,< 1 year,3,Male single,None,4,Real estate,41,None,Own,1,Unskilled-resident,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Education,2273,< 100 DM,4 <= ... < 7 years,3,Male single,None,1,Car/other,32,None,Own,2,Skilled employee,2,None,Yes,Good
0 <= ... < 200 DM,15,Existing credits paid back,Car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,28,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,12,Delayed payments,Car (used),1503,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,4,Real estate,41,None,Rent,1,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male married/widowed,None,3,Savings/Life insurance,26,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,3105,Unknown/No savings,< 1 year,4,Male single,None,2,Car/other,25,None,Own,2,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,21,Critical account,Education,2319,< 100 DM,< 1 year,2,Male divorced/separated,None,1,Car/other,33,None,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,6,Existing credits paid back,Car (new),1374,Unknown/No savings,Unemployed,4,Female div/sep/married,None,3,Savings/Life insurance,75,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Critical account,Furniture/equipment,3612,< 100 DM,>= 7 years,3,Female div/sep/married,None,4,Savings/Life insurance,37,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,48,Existing credits paid back,Car (new),7763,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,42,Bank,For free,1,Management/self-employed,1,None,Yes,Bad
>= 200 DM/salary assigned,18,Existing credits paid back,Furniture/equipment,3049,< 100 DM,< 1 year,1,Female div/sep/married,None,1,Savings/Life insurance,45,Stores,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1534,< 100 DM,< 1 year,1,Male married/widowed,None,1,Real estate,23,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,24,Delayed payments,Car (new),2032,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,60,None,For free,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,30,Existing credits paid back,Furniture/equipment,6350,Unknown/No savings,>= 7 years,4,Male single,None,4,Savings/Life insurance,31,None,Own,1,Skilled employee,1,None,Yes,Bad
>= 200 DM/salary assigned,18,Existing credits paid back,Furniture/equipment,2864,< 100 DM,1 <= ... < 4 years,2,Male single,None,1,Real estate,34,None,Own,1,Unskilled-resident,2,None,Yes,Bad
No checking account,12,Critical account,Car (new),1255,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,61,None,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,24,Delayed payments,Car (new),1333,< 100 DM,Unemployed,4,Male single,None,2,Real estate,43,None,For free,2,Skilled employee,2,None,Yes,Bad
No checking account,24,Critical account,Car (new),2022,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,37,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,1552,< 100 DM,4 <= ... < 7 years,3,Male single,None,1,Car/other,32,Bank,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,12,All credits paid back,Radio/TV,626,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Real estate,24,Bank,Own,1,Unskilled-resident,1,None,Yes,Bad
No checking account,48,Critical account,Car (used),8858,Unknown/No savings,4 <= ... < 7 years,2,Male single,None,1,Unknown/No property,35,None,For free,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Repairs,996,Unknown/No savings,4 <= ... < 7 years,4,Female div/sep/married,None,4,Real estate,23,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,6,All credits paid back,Radio/TV,1750,500 <= ... < 1000 DM,>= 7 years,2,Male single,None,4,Savings/Life insurance,45,Bank,Own,1,Unskilled-resident,2,None,Yes,Good
< 0 DM,48,Existing credits paid back,Radio/TV,6999,< 100 DM,4 <= ... < 7 years,1,Male married/widowed,Guarantor,1,Real estate,34,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,12,Critical account,Car (new),1995,100 <= ... < 500 DM,< 1 year,4,Male single,None,1,Car/other,27,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Education,1199,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,4,Savings/Life insurance,67,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1331,< 100 DM,< 1 year,2,Male single,None,1,Car/other,22,Stores,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,18,No credits/all paid,Car (new),2278,100 <= ... < 500 DM,< 1 year,3,Female div/sep/married,None,3,Car/other,28,None,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,21,No credits/all paid,Car (new),5003,Unknown/No savings,1 <= ... < 4 years,1,Female div/sep/married,None,4,Savings/Life insurance,29,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,24,All credits paid back,Furniture/equipment,3552,< 100 DM,4 <= ... < 7 years,3,Male single,None,4,Car/other,27,Bank,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,18,Critical account,Furniture/equipment,1928,< 100 DM,< 1 year,2,Male single,None,2,Real estate,31,None,Own,2,Unskilled-resident,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Car (used),2964,Unknown/No savings,>= 7 years,4,Male single,None,4,Unknown/No property,49,Bank,For free,1,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,24,All credits paid back,Radio/TV,1546,< 100 DM,4 <= ... < 7 years,4,Male single,Guarantor,4,Car/other,24,Bank,Rent,1,Unskilled-resident,1,None,Yes,Bad
>= 200 DM/salary assigned,6,Delayed payments,Radio/TV,683,< 100 DM,< 1 year,2,Female div/sep/married,None,1,Savings/Life insurance,29,Bank,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Car (new),12389,Unknown/No savings,1 <= ... < 4 years,1,Male single,None,4,Unknown/No property,37,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,24,Delayed payments,Business,4712,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,37,Bank,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Delayed payments,Radio/TV,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,Female div/sep/married,None,2,Savings/Life insurance,23,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Car (new),1372,< 100 DM,4 <= ... < 7 years,2,Male divorced/separated,None,3,Car/other,36,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,24,Critical account,Radio/TV,2578,>= 1000 DM,>= 7 years,2,Male single,None,2,Car/other,34,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Radio/TV,3979,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,1,Car/other,41,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,48,Existing credits paid back,Radio/TV,6758,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Car/other,31,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,24,Existing credits paid back,Furniture/equipment,3234,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Real estate,23,None,Rent,1,Unskilled-resident,1,"Yes, registered",Yes,Bad
No checking account,30,Critical account,Radio/TV,5954,< 100 DM,4 <= ... < 7 years,3,Male single,Co-applicant,2,Car/other,38,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Car (used),5433,Unknown/No savings,Unemployed,2,Female div/sep/married,None,4,Savings/Life insurance,26,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,15,Existing credits paid back,Business,806,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Savings/Life insurance,22,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Radio/TV,1082,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,27,None,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,15,Critical account,Furniture/equipment,2788,< 100 DM,4 <= ... < 7 years,2,Female div/sep/married,Co-applicant,3,Car/other,24,Bank,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,2930,< 100 DM,4 <= ... < 7 years,2,Female div/sep/married,None,1,Real estate,27,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,24,Critical account,Education,1927,Unknown/No savings,1 <= ... < 4 years,3,Female div/sep/married,None,2,Car/other,33,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,Critical account,Car (new),2820,< 100 DM,< 1 year,4,Male divorced/separated,None,4,Car/other,27,None,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,24,Existing credits paid back,Retraining,937,< 100 DM,< 1 year,4,Male married/widowed,None,3,Car/other,27,None,Own,2,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,18,Critical account,Car (new),1056,< 100 DM,>= 7 years,3,Male single,Guarantor,3,Real estate,30,Bank,Own,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,12,Critical account,Car (new),3124,< 100 DM,< 1 year,1,Male single,None,3,Real estate,49,Bank,Own,2,Unskilled-resident,2,None,Yes,Good
No checking account,9,Existing credits paid back,Furniture/equipment,1388,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Real estate,26,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Repairs,2384,< 100 DM,< 1 year,4,Male single,None,1,Unknown/No property,33,None,Rent,1,Unskilled-resident,1,None,Yes,Bad
No checking account,12,Existing credits paid back,Car (new),2133,Unknown/No savings,>= 7 years,4,Female div/sep/married,None,4,Unknown/No property,52,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,18,Existing credits paid back,Furniture/equipment,2039,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,4,Real estate,20,Bank,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,9,Critical account,Car (new),2799,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,36,None,Rent,2,Skilled employee,2,None,Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,1289,< 100 DM,1 <= ... < 4 years,4,Male single,Guarantor,1,Savings/Life insurance,21,None,Own,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Domestic appliances,1217,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,3,Real estate,47,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Bad
< 0 DM,12,Critical account,Furniture/equipment,2246,< 100 DM,>= 7 years,3,Male single,None,3,Savings/Life insurance,60,None,Own,2,Skilled employee,1,None,Yes,Bad
< 0 DM,12,Critical account,Radio/TV,385,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,3,Real estate,58,None,Own,4,Unskilled-resident,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Delayed payments,Car (new),1965,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,42,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,21,Existing credits paid back,Business,1572,>= 1000 DM,>= 7 years,4,Female div/sep/married,None,4,Real estate,36,Bank,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Car (new),2718,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,4,Savings/Life insurance,20,None,Rent,1,Unskilled-resident,1,"Yes, registered",Yes,Bad
< 0 DM,24,All credits paid back,Other,1358,Unknown/No savings,>= 7 years,4,Male single,None,3,Car/other,40,Stores,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,6,All credits paid back,Car (new),931,100 <= ... < 500 DM,< 1 year,1,Female div/sep/married,None,1,Savings/Life insurance,32,Stores,Own,1,Unskilled-resident,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Car (new),1442,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,4,Car/other,23,None,Rent,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,24,No credits/all paid,Business,4241,< 100 DM,1 <= ... < 4 years,1,Male single,None,4,Real estate,36,None,Own,3,Unskilled-resident,1,"Yes, registered",Yes,Bad
No checking account,18,Critical account,Car (new),2775,< 100 DM,4 <= ... < 7 years,2,Male single,None,2,Savings/Life insurance,31,Bank,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,24,Delayed payments,Business,3863,< 100 DM,1 <= ... < 4 years,1,Male single,None,2,Unknown/No property,32,None,For free,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,7,Existing credits paid back,Radio/TV,2329,< 100 DM,< 1 year,1,Female div/sep/married,Guarantor,1,Real estate,45,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Furniture/equipment,918,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,1,Savings/Life insurance,30,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,24,All credits paid back,Education,1837,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,4,Unknown/No property,34,Bank,For free,1,Unskilled-resident,1,None,Yes,Bad
No checking account,36,Existing credits paid back,Furniture/equipment,3349,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Car/other,28,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
>= 200 DM/salary assigned,10,Existing credits paid back,Furniture/equipment,1275,< 100 DM,< 1 year,4,Female div/sep/married,None,2,Savings/Life insurance,23,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,All credits paid back,Furniture/equipment,2828,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,4,Real estate,22,Stores,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Critical account,Business,4526,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Real estate,74,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Radio/TV,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female div/sep/married,Co-applicant,4,Unknown/No property,50,None,For free,1,Skilled employee,1,None,Yes,Bad
No checking account,18,Existing credits paid back,Radio/TV,2051,< 100 DM,< 1 year,4,Male single,None,1,Real estate,33,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,15,Existing credits paid back,Car (used),1300,Unknown/No savings,>= 7 years,4,Male single,None,4,Unknown/No property,45,Bank,For free,1,Skilled employee,2,None,Yes,Good
< 0 DM,12,Existing credits paid back,Domestic appliances,741,100 <= ... < 500 DM,Unemployed,4,Female div/sep/married,None,3,Savings/Life insurance,22,None,Own,1,Skilled employee,1,None,Yes,Bad
>= 200 DM/salary assigned,10,Existing credits paid back,Car (new),1240,100 <= ... < 500 DM,>= 7 years,1,Female div/sep/married,None,4,Unknown/No property,48,None,For free,1,Unskilled-resident,2,None,Yes,Bad
< 0 DM,21,Existing credits paid back,Radio/TV,3357,>= 1000 DM,< 1 year,4,Female div/sep/married,None,2,Car/other,29,Bank,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,All credits paid back,Car (used),3632,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,Guarantor,4,Car/other,22,Bank,Rent,1,Skilled employee,1,None,No,Good
No checking account,18,Delayed payments,Furniture/equipment,1808,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,1,Real estate,22,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,48,No credits/all paid,Business,12204,Unknown/No savings,1 <= ... < 4 years,2,Male single,None,2,Car/other,48,Bank,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,60,Delayed payments,Radio/TV,9157,Unknown/No savings,1 <= ... < 4 years,2,Male single,None,2,Unknown/No property,27,None,For free,1,Management/self-employed,1,None,Yes,Good
< 0 DM,6,Critical account,Car (new),3676,< 100 DM,1 <= ... < 4 years,1,Male single,None,3,Real estate,37,None,Rent,3,Skilled employee,2,None,Yes,Good
0 <= ... < 200 DM,30,Existing credits paid back,Furniture/equipment,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,Female div/sep/married,Co-applicant,4,Car/other,21,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,12,Existing credits paid back,Car (new),640,< 100 DM,1 <= ... < 4 years,4,Male divorced/separated,None,2,Real estate,49,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,21,Critical account,Business,3652,< 100 DM,4 <= ... < 7 years,2,Male single,None,3,Savings/Life insurance,27,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Critical account,Car (new),1530,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Savings/Life insurance,32,Bank,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,48,Existing credits paid back,Business,3914,Unknown/No savings,1 <= ... < 4 years,4,Male divorced/separated,None,2,Real estate,38,Bank,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,12,Existing credits paid back,Furniture/equipment,1858,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Car/other,22,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Radio/TV,2600,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,65,None,For free,2,Skilled employee,1,None,Yes,Bad
No checking account,15,Existing credits paid back,Radio/TV,1979,Unknown/No savings,>= 7 years,4,Male single,None,2,Car/other,35,None,Own,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,6,Existing credits paid back,Furniture/equipment,2116,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,41,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,9,All credits paid back,Car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,2,Male single,None,3,Unknown/No property,29,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,42,Critical account,Furniture/equipment,4042,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,4,Real estate,36,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,9,Existing credits paid back,Education,3832,Unknown/No savings,>= 7 years,1,Male single,None,4,Real estate,64,None,Own,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Radio/TV,3660,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,28,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,18,All credits paid back,Furniture/equipment,1553,< 100 DM,1 <= ... < 4 years,4,Male single,None,3,Car/other,44,Bank,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,15,Existing credits paid back,Radio/TV,1444,Unknown/No savings,< 1 year,4,Male single,None,1,Savings/Life insurance,23,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,9,Existing credits paid back,Furniture/equipment,1980,< 100 DM,< 1 year,2,Female div/sep/married,Co-applicant,2,Car/other,19,None,Rent,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,24,Existing credits paid back,Car (new),1355,< 100 DM,< 1 year,3,Female div/sep/married,None,4,Car/other,25,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Bad
No checking account,12,Existing credits paid back,Education,1393,< 100 DM,>= 7 years,4,Male single,None,4,Savings/Life insurance,47,Bank,Own,3,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,4,Female div/sep/married,None,1,Car/other,28,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,60,Delayed payments,Radio/TV,15653,< 100 DM,4 <= ... < 7 years,2,Male single,None,4,Car/other,21,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,1493,< 100 DM,< 1 year,4,Female div/sep/married,None,3,Car/other,34,None,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,42,Delayed payments,Radio/TV,4370,< 100 DM,4 <= ... < 7 years,3,Male single,None,2,Savings/Life insurance,26,Bank,Own,2,Skilled employee,2,"Yes, registered",Yes,Bad
< 0 DM,18,Existing credits paid back,Education,750,< 100 DM,Unemployed,4,Female div/sep/married,None,1,Real estate,27,None,Own,1,Unemployed/non-resident,1,None,Yes,Bad
0 <= ... < 200 DM,15,Existing credits paid back,Repairs,1308,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,38,None,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,15,Existing credits paid back,Education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,Male single,None,2,Savings/Life insurance,40,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,24,Critical account,Radio/TV,1851,< 100 DM,4 <= ... < 7 years,4,Male married/widowed,Guarantor,2,Car/other,33,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
